year,nl,au,zh
1820,2333000,334000,381000000
1821,2365000,331000,383711494
1822,2400000,329000,386442286
1823,2435000,329000,389192512
1824,2474000,332000,391962310
1825,2514000,333000,394751821
1826,2543000,330000,397561184
1827,2561000,328000,400390540
1828,2585000,326000,403240033
1829,2610000,326000,406109805
1830,2633000,330000,409000000
1831,2653000,333000,409299014
1832,2665000,338000,409598247
1833,2683000,349000,409897699
1834,2707000,354000,410197370
1835,2732000,358000,410497259
1836,2762000,367000,410797368
1837,2791000,373000,411097697
1838,2821000,388000,411398245
1839,2853000,403000,411699012
1840,2886000,420000,412000000
1841,2921000,448000,412000000
1842,2952000,465000,412000000
1843,2981000,472000,412000000
1844,3014000,482000,412000000
1845,3047000,494000,412000000
1846,3069000,505000,412000000
1847,3071000,518000,412000000
1848,3069000,538000,412000000
1849,3076000,576000,412000000
1850,3098000,605000,412000000
1851,3133000,636000,408358528
1852,3167000,710000,404749241
1853,3194000,795000,401171855
1854,3218000,887000,397626087
1855,3235000,983000,394111659
1856,3253000,1065000,390628294
1857,3277000,1156000,387175716
1858,3294000,1235000,383753654
1859,3304000,1279000,380361838
1860,3318000,1326000,377000000
1861,3340000,1346000,375055482
1862,3366000,1382000,373120994
1863,3397000,1432000,371196483
1864,3431000,1495000,369281899
1865,3460000,1558000,367377190
1866,3484000,1609000,365482306
1867,3510000,1647000,363597195
1868,3543000,1700000,361721807
1869,3575000,1750000,359856092
1870,3610000,1775000,358000000
1871,3636000,1675000,358988000
1872,3662000,1722000,359978000
1873,3670000,1769000,360971000
1874,3745000,1822000,361967000
1875,3788000,1874000,362966000
1876,3832000,1929000,363967000
1877,3883000,1995000,364971000
1878,3834000,2062000,365978000
1879,3986000,2127000,366988000
1880,4043000,2197000,368000000
1881,4079000,2269000,369183000
1882,4130000,2348000,370369000
1883,4180000,2447000,371560000
1884,4226000,2556000,372754000
1885,4276000,2650000,373952000
1886,4326000,2741000,375154000
1887,4378000,2835000,376359000
1888,4432000,2932000,377569000
1889,4485000,3022000,378783000
1890,4535000,3107000,380000000
1891,4585000,3196000,381979000
1892,4632000,3274000,383969000
1893,4684000,3334000,385969000
1894,4743000,3395000,387979000
1895,4803000,3460000,390000000
1896,4866000,3523000,391980000
1897,4935000,3586000,393970000
1898,5003000,3642000,395970000
1899,5070000,3691000,397980000
1900,5142000,3741000,400000000
1901,5221000,3795000,402243000
1902,5305000,3850000,404498000
1903,5389000,3896000,406766000
1904,5470000,3946000,409047000
